,Organization,Organization_URL,Industries,Headquarters,Description,Year,Founded_Date,Website,Latitude,Longitude
302,BrownPacket- Healthcare at your doorstep,https://www.crunchbase.com/organization/brownpacket,"Health Care, Mobile Apps, Pharmaceutical","Bangalore City, Karnataka, India",BrownPacket is a mobile app to get medicines and healthcare products from nearest pharmacy stores,2016,09/03/2016,https://brownpacket.com,12.966180000000065,77.58690000000007
303,Illumine,https://www.crunchbase.com/organization/illumine-f6cf,"Child Care, EdTech, Education, Enterprise Resource Planning (ERP), SaaS, Software","Bangalore, Karnataka, India",Child Care Management Software | Preschool & Daycare Software,2018,16/06/2018,https://www.illumine.app,12.966180000000065,77.58690000000007
304,DOQFY,https://www.crunchbase.com/organization/doqfy,"Information Services, Legal","Bangalore, Karnataka, India",DOQFY is an online platform for professional and legal ancillary services.,2019,01/01/2019,https://doqfy.in/,12.966180000000065,77.58690000000007
305,Spire Innovations Inc.,https://www.crunchbase.com/organization/spire-technologies,"Analytics, Artificial Intelligence, Database, Enterprise Software","Bangalore, Karnataka, India",Spire is an unique domain intelligence technology based AI platform that generates contextual meaning out of unstructured text.,2008,01/01/2008,http://spire.Ai,12.975230000000067,77.61433000000005
306,HashCube,https://www.crunchbase.com/organization/hashcube,"Gaming, Online Portals, Social Media","Bangalore, Karnataka, India","HashCube is a game studio, producing social media games for a broad audience.",2008,01/01/2008,http://www.hashcube.com,12.979450000000043,77.60718000000008
307,InnAccel,https://www.crunchbase.com/organization/innaccel,"Health Care, Information Technology, Medical","Bangalore, Karnataka, India","InnAccel is India’s first, and only, Medical Technology Innovation Platform for Global Emerging Markets.",2012,01/01/2012,http://www.innaccel.com,12.982980000000055,77.59875000000005
308,NeuroPixel.AI Labs Pvt. Ltd.,https://www.crunchbase.com/organization/neuropixel,"Artificial Intelligence, Computer Vision, E-Commerce","Bangalore, Karnataka, India",NeuroPixel.AI Labs is a Deep Tech start-up working in application of advanced AI/ML in Computer Vision area for online retail storefronts.,2020,01/12/2020,https://www.neuropixel.ai/,12.966180000000065,77.58690000000007
309,PagarBook,https://www.crunchbase.com/organization/pagarbook,"Apps, Enterprise Software, Human Resources, Mobile Apps, SaaS, Software","Bangalore, Karnataka, India","PagarBook is a staff's salary, work, and attendance management app for small and medium enterprises.",2019,01/12/2019,https://pagarbook.com,12.966180000000065,77.58690000000007
310,Nivaata Systems Pvt Ltd,https://www.crunchbase.com/organization/nivaata-systems-pvt-ltd,"Location Based Services, Logistics, Software, Transportation, Wireless","Bangalore, Karnataka, India",Verayu: Shaping The Future Of Location Intelligence,2008,01/01/2008,http://www.verayu.com/,12.977910000000065,77.63671000000005
311,Solvio,https://www.crunchbase.com/organization/solvio-ai,"Artificial Intelligence, B2B, Computer Vision, Developer APIs, EdTech, Education, Internet, Machine Learning, Natural Language Processing, SaaS","Bangalore, Karnataka, India","Solvio, using Artificial Intelligence, is building the technology to understand and automatically grade descriptive answers of students.",2019,09/10/2019,https://trysolvio.ai,12.966180000000065,77.58690000000007
312,edForce,https://www.crunchbase.com/organization/edforce,Corporate Training,"Bangalore, Karnataka, India","edForce - an Enterprise Training Company, is accelerating Workforce Upskilling through Live Online Training (VILT) & CloudLabs.",2021,07/10/2021,https://www.edforce.co/,12.966180000000065,77.58690000000007
313,BIGPHI TECHNOLOGIES PVT. LTD.,https://www.crunchbase.com/organization/bigphi-technologies-pvt-ltd,Fashion,"Bangalore, Karnataka, India",BIGPHI technologies is the India's first technologically advanced apparel and wearable company.,2016,08/12/2016,http://www.bigphi.com,12.95446000000004,77.70025000000004
314,shumee,https://www.crunchbase.com/organization/shumee,"E-Commerce, Education, Toys","Bangalore, Karnataka, India","Sustainable, eco-friendly and wooden exploration toys designed after much research on how to engage, stimulate and entertain children.",2014,10/08/2014,https://www.shumee.in,12.966180000000065,77.58690000000007
315,HappyEMI,https://www.crunchbase.com/organization/happyemi,"Consumer, Financial Services, FinTech","Bangalore, Karnataka, India",HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,2017,15/05/2017,https://www.happyemi.com/,12.932560000000024,77.56778000000008
316,AskSid Technology Solutions,https://www.crunchbase.com/organization/asksid-technology-solutions,"Artificial Intelligence, Computer Vision, E-Commerce, Machine Learning, Software","Bangalore, Karnataka, India",AskSid Technology Solutions is a specialist Conversational AI solution for retail and consumer goods.,2017,01/01/2017,https://www.asksid.ai/,12.993630000000053,77.52882000000005
317,ARTWALEY,https://www.crunchbase.com/organization/artwaley,"Art, E-Commerce, Home Decor, Marketplace","Bangalore, Karnataka, India",Artwaley is a marketplace for paintings & art. It is platform that was created to bridge the gap between the artist and the art appreciator.,2016,10/02/2016,http://www.artwaley.com,12.966180000000065,77.58690000000007
318,Zoomo,https://www.crunchbase.com/organization/zoomo,"E-Commerce, Information Technology, Internet, Software","Bangalore, Karnataka, India",Zoomo is a Bangalore based technology start-up pioneering in peer-to-peer transactions of pre-owned cars.,2014,01/01/2014,http://www.gozoomo.com/,12.982630000000029,77.60705000000007
319,Mate Labs,https://www.crunchbase.com/organization/mate-labs,"Artificial Intelligence, Machine Learning, PaaS","Bangalore, Karnataka, India",Mate Labs is a machine learning solutions platform for beginners.,2016,30/06/2016,http://matelabs.in/,12.922600000000045,77.48618000000005
320,FlashPrep,https://www.crunchbase.com/organization/flashprep,E-Learning,"Bangalore, Karnataka, India",FlashPrep enables learners to make quantifiable progress during their test preparation journey in short (5-15 minute) study sessions.,2020,10/10/2020,https://flashprep.io,12.966180000000065,77.58690000000007
321,Manch,https://www.crunchbase.com/organization/manch-7860,"Digital Signage, SaaS, Software","Bangalore, Karnataka, India",Manch is a SaaS based digital signature provider.,2016,01/01/2016,https://www.manchtech.com,12.958000000000027,77.65900000000005
322,Fracktal works,https://www.crunchbase.com/organization/fracktal-works,"3D Printing, Consumer Electronics, Manufacturing","Bangalore, Karnataka, India",Fracktal Works is a 3D printer manufacturing and product development firm that also provides product design and CAD services.,2013,26/07/2013,http://www.fracktal.in,13.031090000000063,77.52107000000007
323,CogniSaaS,https://www.crunchbase.com/organization/cognisaas,"Internet, SaaS","Bangalore, Karnataka, India",Empowering cross-functional teams in enterprise SaaS for customer-centric value delivery.,2020,01/01/2020,https://cognisaas.com/,12.966180000000065,77.58690000000007
324,AttainU,https://www.crunchbase.com/organization/attainu,"EdTech, Higher Education","Bangalore City, Karnataka, India","AttainU is a full-time, live online college alternative education that teaches students the skills needed for software engineering.",2018,01/11/2018,https://www.attainu.com,12.966180000000065,77.58690000000007
325,Omniflo,https://www.crunchbase.com/organization/omniflo,"E-Commerce, Retail","Bangalore, Karnataka, India",Omniflo is a data-driven digital platform to enable fast and efficient offline retail distribution for online brands.,2021,01/01/2021,https://www.omniflo.in/,12.966180000000065,77.58690000000007
326,Olimpio,https://www.crunchbase.com/organization/olimpio,"E-Commerce, Hospitality, Laundry and Dry-cleaning, Rental, Textiles","Bangalore, Karnataka, India",Olimpio is a supplier of uniform and linen products in the hospitality industry.,2018,14/12/2018,http://www.olimpio.in,12.966180000000065,77.58690000000007
327,Coulomb AI,https://www.crunchbase.com/organization/coulomb-ai,"Analytics, Artificial Intelligence, Battery, Electric Vehicle, Software","Bangalore, Karnataka, India",Coulomb AI provides predictive battery analytics software for electric vehicles.,2020,01/01/2020,https://www.coulomb.ai,12.966180000000065,77.58690000000007
328,Boson White Water,https://www.crunchbase.com/organization/boson-white-water,"Water Purification, Water Transportation","Bangalore, Karnataka, India",Boson White Water is a sustainable water management company increasing your water availability.,2011,01/01/2011,https://www.bosonwhitewater.com/,12.966180000000065,77.58690000000007
329,AppiVa Software,https://www.crunchbase.com/organization/appiva-software-private-limited,"Computer, Mobile Apps, SaaS","Bangalore City, Karnataka, India",ezTask.io is a Sales automation platform which focuses on reducing non-productive tasks and efforts incurred by the field sales team.,2016,28/10/2016,https://eztask.io,12.970230000000072,77.60515000000004
330,Barrix Agro Sciences,https://www.crunchbase.com/organization/barrix-agro-sciences,"Agriculture, AgTech, Biotechnology, Farming","Bangalore, Karnataka, India",Barrix Agro Sciences provides performing and outstanding products to the humanity through farmers and to increase the GDP of the world.,2011,01/01/2011,http://www.barrix.in/,13.02353000000005,77.51800000000003
331,Petoo,https://www.crunchbase.com/organization/petoo,"Food and Beverage, Food Delivery, Food Processing, Internet","Bangalore, Karnataka, India",Petoo serves Indian dishes topped with a twist of modern flavors and ingredients.,2015,01/01/2015,http://petoo.in/,12.985500000000059,77.53714000000008
332,Tilt,https://www.crunchbase.com/organization/tilt-baca,"E-Commerce, Electric Vehicle, Last Mile Transportation, Ride Sharing, Transportation","Bangalore, Karnataka, India",Shared bicycles and e-bikes for Indian campuses.,2016,02/06/2016,https://www.tilt.bike/,12.934110000000032,77.61559000000005
333,IDOS - DIGITAL CFO,https://www.crunchbase.com/organization/idos-corp,"Accounting, Analytics, Compliance, Enterprise Resource Planning (ERP), FinTech, Information Technology, SaaS, Software","Bangalore, Karnataka, India",Accounting & Financial management software platform,2013,01/01/2013,http://www.myidos.com/,12.966180000000065,77.58690000000007
334,ChintaMoney,https://www.crunchbase.com/organization/chintamoney,iOS,"Bangalore, Karnataka, India","ChintaMoney is a mobile application that enables a person to segregate, save, invest and spend money for different purposes.",2017,11/10/2017,http://chinta.money,12.966180000000065,77.58690000000007
335,Capitall,https://www.crunchbase.com/organization/capitall-1b7a,"Blockchain, Financial Services, FinTech, Funding Platform","Bangalore, Karnataka, India","Capitall enables investors to grow their wealth and earn passive income by investing in verified brands, startups & MSMEs.",2022,17/01/2022,https://www.capitall.club,12.834760000000074,77.67961000000008
336,Instavans,https://www.crunchbase.com/organization/instavans,"Internet, Logistics, Supply Chain Management","Bangalore, Karnataka, India",Instavans is an on-demand platform for shippers and truckers.,2015,26/02/2015,http://www.instavans.com,12.966180000000065,77.58690000000007
337,Flo Mobility,https://www.crunchbase.com/organization/flo-mobility,"Autonomous Vehicles, Electric Vehicle, Manufacturing","Bangalore, Karnataka, India",Flo Mobility builds an autonomous technology for electric two-wheelers vehicles.,2019,01/01/2019,https://flomobility.com/,12.91647000000006,77.58935000000008
338,DefiDollar,https://www.crunchbase.com/organization/defidollar,,"Bangalore, Karnataka, India",DefiDollar operates as a meta stablecoin index.,2020,01/01/2020,https://dusd.finance/,12.966180000000065,77.58690000000007
